Incident name,Brief description of the incident,What is the motive? Why is the state cracking down? (if known),Country where incident took place,Date of incident,Year of incident
The Brazilian government paid influencers to promote ineffective medication against COVID,"The Brazilian government invested more than US$268,000 in influencer marketing during the pandemic, of which around US$ 5,000 was given to a group of influencers tasked with promoting a series of pills (known in Brazil as atendimento precoce) that had been proved ineffective against COVID-19.","These pills were a crucial part of the Brazilian governments' response to the pandemic. Similar to what was seen in the United States, Bolsonaro insisted that these medications —which by then had had their efficiency debunked by science — worked to prevent and treat COVID. Scientists who became ""influent voices"" during the pandemic had been debunking the government's claims. In March 2021, a report by Agência Pública revealed that the government was using public funds to push that narrative on social media. Ultimately, the government was sponsoring misinformation. ",Brazil,31 March 2021,2021
"Egypt establishes the Communication, Guidance and Social Media Department (CGSMD)","The public Prosecution of Egypt issued a decision to establish the CGSMD. The new department has started functioning through three units: first, the Media Communication Unit; second, the Electronic and Social Media Unit; and third, the MAU (Monitoring and Analysis Unit). ","Monitoring of Egyptian internet users. According to the Egyptian government, the internet is an incubator of “forces of evil”, and, therefore must be closely monitored. In November 2019, the public prosecutor set up a surveillance and analysis unit to spy on internet users, to watch what Egyptians say and do on social media platforms like TikTok. The justification provided by the state is that this is necessary to maintain national security and law and order.",Egypt,12 November 2019,2019
Russia's creation of a sovereign internet,"Since 2019, Russia has intensified strategic and tactical work on creating a ""sovereign internet"", ostensibly to protect Russia's internet segment from foreign attacks, but in reality to strengthen control over Russian online communications, content, citizen data, connections and infrastructure. In 2020-2022, this process intensified further. ",The Russian state seeks to cement control over the Russian internet space on multiple levels.,Russia,1 November 2019,2019
"Turkey blocked access to some 467,000 websites by 2020","A recent report by the freedom of expression association EngelliWeb revealed that the Turkish government issued access bans to 467,011 websites by the end of 2020. According to the findings of the report, in addition to blocked websites, some 764 different government agencies ordered the access bans, while the local judiciary has issued more than 400k decrees for the bans. ","The motive here is to stifle freedom of information, freedom of access to information, freedom of speech and media. The ruling party often relies on its notorious Internet law 5651 which is used as a legal shield in targeting internet in Turkey. In recent years, and especially after the Gezi protests in 2013, the ruling Justice and Development has become even more intolerant to any information that is critical of government policies, exposes corruption, or anything else that the party deems as ""criticism"" or ""insult"". To put it simply, any form of criticism is subject to arbitrary punishments and the decline in overall freedoms in the country attests to this reality. ",Turkey,16 August 2021,2021
A 70-year-old man arrested for insulting the president,"Ali Yılmaz, a 70 year old man, was arrested on charges of “insulting” President Recep Tayyip Erdoğan. Yilmaz's crime was to repeat the proverb that journalist Sedef Kabaş said out loud during her show, for which she too was arrested (but later released) also on charges of insulting the president. Yilmaz shared the proverb in a tweet after congratulating the journalist Kabas on her release. In court, Yilmaz said he ""did not mean or had any intention to insult the head of state.""","Arresting citizens (regardless of their profession or affiliation) on charges of insulting the president are a common practice. In fact, the number of arrests specifically on this criminal offense has skyrocketed in hears after President Erdogan was elected as president (prior he served as the country's prime minister since 2003). The motive is the ruling party's and chief among them, its leader, inability to take any criticism. Hence, the growing number of arrests targeting people under ""insults"". ",Turkey,21 March 2022,2022
Court blocks access to news about suicide of a student,"Enes Kara, 19, was a second-year medical student at Elazığ Fırat University Medical Faculty. On January 11, Kara died by suicide. In a video recording that the 19-year-old left behind, he explained the unbearable compulsory indoctrination at the student housing his family sent him to live in, and the lack of hope for his future. “I have lost my entire joy for life and enthusiasm in the situation that I have found myself in,” Kara said in the video.
His video went viral on social media and reminded viewers of previous cases of violence, abuse, and murder at religious community-run student housing in recent years. 
Kara's father applied to a local court asking the court to block access to news reports of his son's suicide, on the grounds that the reports were an insult to his personal rights. The court ruled in favor of imposing access blocks on a number of news websites that published developments regarding Kara's suicide. ","Critics of the ban said the local court was covering up for the perpetrators of the crime, which included the religious dormitory and its owners as well as the responsibility of the parents who refused to hear their son's plea to move him to a different place. ",Turkey,13 January 2022,2022
September 2021 elections Russia - censorship and pressure  ,"In the run-up to and during the September 2021 parliamentary elections in Russia, there were multiple instances of internet censorship and pressure on opposition, independent media, NGOs and citizens.",The Russian government and ruling party wish to stay in power and use these repressions as an additional tool of cementing control.,Russia,11 September 2021,2021
Three YouTubers in Turkey are handed house arrests,"Three YouTube content creators from Turkey, known for their vox pops that often go viral, were handed house arrests on Dec. 13, 2021. Arif Kocabıyık, Hasan Köksoy and Turan Kural were detained in early morning house raids on Dec. 12 reportedly over, ruling Justice and Development Party (AKP) member Mücahit Birinci's complaint.
These men interview people about the nation's economy and its impact on their finances. 
Köksoy, who runs the YouTube channel Kendine Muhabir (which translates to Self Correspondent), said in a tweet he was taken out of his bed ""like a terrorist"" and arrested ""for handing a microphone to the public.""
The YouTubers were accused of ""denigrating the state and government.""","Widespread filtering or removal of online content that is critical of the government with the goal to silence independent voices but also mute people's growing discontent with the government policies. In this specific case, the public's discontent over the financial crisis that the country has found itself in as of the end of 2021. ",Turkey,13 December 2021,2021
Foreign agents laws passed in Russia,"In 2021, Russia began to actively label independent media, NGOs, human rights organisations and individuals as ""foreign agents"", claiming that they received some form of foreign funding or support and thus were acting against the interests of the state. The label restricted their rights and activity and added them to special state registries, mandating them to submit regular reports about their funding and activity.",The Russian government seeks tighter regulation of independent thought and activity in Russia and wants to discredit independent voices.,Russia,1 September 2021,2021
Russia's hostage-taking laws target social media companies,"In 2021, Russia passed yet another law targeting social media platforms requiring them to register as legal entities in Russia, register with the state, proactively block and remove ""illegal"" content without prompts from state censors, and face huge turnover-based fines for non-compliance.",The Russian government seeks to delegate censorship to social media platforms to ensure better policing of online space.,Russia,17 June 2021,2021
